Feature,Feature_Code,Alzheimer_N,Control_N,Alzheimer_Mean,Alzheimer_Std,Control_Mean,Control_Std,Mean_Diff,CI_95%,Cohens_D,Effect_Size,T_Statistic,P_Value,Significant
Khó khăn tìm từ,word_finding_difficulty,150,150,0.221,0.107,0.092,0.060,0.129,"[0.109, 0.149]",1.485,Very Large,12.858,0.000000,***
Tần suất dừng,pause_frequency,150,150,0.140,0.059,0.067,0.044,0.073,"[0.061, 0.085]",1.395,Very Large,12.082,0.000000,***
Trôi chảy ngữ nghĩa,semantic_fluency,150,150,12.445,5.012,19.149,5.005,-6.704,"[-7.838, -5.570]",1.339,Very Large,-11.592,0.000000,***
Độ dài dừng trung bình (giây),mean_pause_length,150,150,0.808,0.363,0.438,0.252,0.370,"[0.300, 0.441]",1.185,Very Large,10.263,0.000000,***
Đa dạng từ vựng,lexical_diversity,150,150,0.467,0.147,0.628,0.127,-0.161,"[-0.193, -0.130]",1.172,Very Large,-10.147,0.000000,***
Độ dài câu (từ),sentence_length,150,150,45.255,20.559,67.032,23.329,-21.777,"[-26.753, -16.801]",0.990,Very Large,-8.577,0.000000,***
Shimmer (%),shimmer,150,150,0.031,0.011,0.022,0.009,0.009,"[0.007, 0.011]",0.880,Very Large,7.618,0.000000,***
Tốc độ nói (từ/phút),speech_rate,150,150,120.058,32.175,144.086,28.198,-24.028,"[-30.875, -17.181]",0.794,Large,-6.878,0.000000,***
HNR (dB),hnr,150,150,19.265,4.918,22.826,4.165,-3.561,"[-4.593, -2.530]",0.781,Large,-6.768,0.000000,***
Jitter (%),jitter,150,150,0.010,0.005,0.007,0.003,0.003,"[0.002, 0.004]",0.717,Large,6.211,0.000000,***
Độ lệch chuẩn F0,f0_std,150,150,42.118,14.742,33.182,12.565,8.936,"[5.836, 12.036]",0.652,Large,5.650,0.000000,***
Tuổi,age,150,150,78.390,10.148,71.976,12.030,6.414,"[3.896, 8.933]",0.576,Large,4.992,0.000001,***
Số từ trung bình/câu,avg_words_per_sentence,150,150,7.555,2.840,8.884,2.513,-1.329,"[-1.936, -0.722]",0.496,Medium,-4.294,0.000024,***
F0 trung bình (Hz),f0_mean,150,150,180.203,44.432,161.614,37.017,18.589,"[9.334, 27.844]",0.455,Medium,3.937,0.000104,***
