Model,Model_Type,CV_Mean,CV_Std,Accuracy,Precision,Recall,Specificity,Balanced_Acc,F1_Score,ROC_AUC,PR_AUC,MCC,Kappa,Training_Time
Naive Bayes,Bayesian,0.9952,0.0095,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,N/A
Random Forest,Ensemble,0.9857,0.0117,0.9778,1.0000,0.9556,1.0000,0.9778,0.9773,0.9990,0.9990,0.9565,0.9556,N/A
SVM,SVM,0.9952,0.0095,0.9778,1.0000,0.9556,1.0000,0.9778,0.9773,0.9995,0.9995,0.9565,0.9556,N/A
Logistic Regression,Linear,0.9952,0.0095,0.9667,1.0000,0.9333,1.0000,0.9667,0.9655,0.9995,0.9995,0.9354,0.9333,N/A
AdaBoost,Ensemble,0.9857,0.0190,0.9667,1.0000,0.9333,1.0000,0.9667,0.9655,0.9970,0.9971,0.9354,0.9333,N/A
CatBoost,Ensemble,0.9762,0.0151,0.9667,1.0000,0.9333,1.0000,0.9667,0.9655,0.9965,0.9966,0.9354,0.9333,N/A
LightGBM,Ensemble,0.9905,0.0117,0.9556,0.9767,0.9333,0.9778,0.9556,0.9545,0.9941,0.9937,0.9120,0.9111,N/A
XGBoost,Ensemble,0.9667,0.0286,0.9444,0.9545,0.9333,0.9556,0.9444,0.9438,0.9921,0.9928,0.8891,0.8889,N/A
Gradient Boosting,Ensemble,0.9190,0.0323,0.9333,0.9535,0.9111,0.9556,0.9333,0.9318,0.9857,0.9856,0.8675,0.8667,N/A
MLP Neural Network,Neural Network,0.9476,0.0350,0.8778,0.8269,0.9556,0.8000,0.8778,0.8866,0.9743,0.9804,0.7649,0.7556,N/A
Decision Tree,Tree,0.8905,0.0442,0.8556,0.8810,0.8222,0.8889,0.8556,0.8506,0.9190,0.9373,0.7127,0.7111,N/A
